"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.907527829E0,-4.309477806E0,-2.383682251E0,2.324468374E0
1.912524027E0,-3.670850754E0,-2.324911118E0,2.338310242E0
1.917521266E0,-2.753087521E0,-2.271245003E0,2.000454187E0
1.922519548E0,-1.565729380E0,-2.047729492E0,1.320351362E0
1.927518714E0,-5.345937610E-1,-1.878779411E0,3.127617836E-1
1.932518662E0,-1.078643799E-1,-1.718237877E0,-6.366567612E-1
1.937519235E0,2.787649930E-1,-1.620517731E0,-1.695495248E0
1.942520173E0,7.928568125E-1,-1.525454521E0,-2.617425203E0
1.947521370E0,2.067242861E-1,-8.310041428E-1,-3.447496653E0
1.952522673E0,1.217508912E0,7.900238037E-3,-4.277257919E0
1.957523662E0,4.630226493E-1,1.017053604E0,-6.118689537E0
1.962522100E0,5.473135710E-1,9.924259186E-1,-1.284187794E1
1.967518975E0,3.813469887E0,5.320272446E-1,-1.346202660E1
1.972515850E0,5.289340019E0,1.492979050E0,-1.323286915E1
1.977512725E0,5.808509827E0,1.995526791E0,-1.094558525E1
